epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,10029.6,0.86584,0.5741,0.94578,0.47316,0.37363,0.34547,0.13705,1.10651,1.8596,0.8175,0.000101423,0.000101423,0.000101423
89,10138.5,0.85292,0.56924,0.96075,0.52741,0.39247,0.33944,0.1343,1.109,1.81769,0.83635,8.95213e-05,8.95213e-05,8.95213e-05
90,10247.6,0.85593,0.57657,0.95625,0.48597,0.37401,0.34745,0.13961,1.0954,1.82611,0.81946,7.8528e-05,7.8528e-05,7.8528e-05
91,10359.7,0.87818,0.58482,0.96405,0.48924,0.40659,0.34215,0.13673,1.10197,1.88186,0.83053,6.8454e-05,6.8454e-05,6.8454e-05
92,10475.4,0.84551,0.5598,0.95471,0.52833,0.36932,0.33864,0.14059,1.11849,1.87566,0.83728,5.93093e-05,5.93093e-05,5.93093e-05
93,10591,0.84485,0.5608,0.94926,0.5324,0.34066,0.33069,0.1332,1.10527,1.92133,0.83884,5.11027e-05,5.11027e-05,5.11027e-05
94,10707.7,0.85677,0.55505,0.94298,0.51881,0.37363,0.34096,0.13175,1.09674,1.90429,0.82687,4.38424e-05,4.38424e-05,4.38424e-05
95,10821.8,0.84864,0.58102,0.96162,0.50465,0.36264,0.32867,0.13162,1.10473,1.94144,0.83619,3.75356e-05,3.75356e-05,3.75356e-05
96,10930.7,0.86188,0.56688,0.95069,0.53041,0.37239,0.33606,0.13601,1.10908,1.91824,0.83532,3.21885e-05,3.21885e-05,3.21885e-05
97,11039.6,0.85694,0.56841,0.96267,0.51403,0.37363,0.33555,0.13482,1.11268,1.92634,0.83693,2.78064e-05,2.78064e-05,2.78064e-05
98,11147.4,0.84497,0.57786,0.97304,0.52198,0.37363,0.33518,0.13485,1.10785,1.89155,0.83235,2.43937e-05,2.43937e-05,2.43937e-05
99,11255.6,0.83471,0.56231,0.953,0.51183,0.38462,0.33717,0.13647,1.1061,1.87216,0.82863,2.19535e-05,2.19535e-05,2.19535e-05
100,11363.5,0.84433,0.56087,0.94511,0.52166,0.38462,0.33711,0.13618,1.10282,1.90153,0.82833,2.04885e-05,2.04885e-05,2.04885e-05
