epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3816.08,1.34928,2.06344,0.85537,1.09259,0.71609,0.54945,0.55264,0.23897,0.67958,0.52747,0.52777,0.17574,1.97755,3.97906,1.55763,1.48721,0.00269875,0.00269875,0.00269875
61,3871.95,1.34904,2.01804,0.84262,1.11143,0.73112,0.51648,0.5667,0.24436,0.62875,0.51648,0.51487,0.19009,1.94823,4.12355,1.53277,1.45514,0.002575,0.002575,0.002575
62,3926.54,1.33577,2.01032,0.83674,1.10641,0.70848,0.51648,0.51609,0.21639,0.6867,0.48174,0.48262,0.17829,2.13104,4.01899,1.54407,1.53514,0.00245125,0.00245125,0.00245125
63,3980.5,1.33538,1.99559,0.803,1.09132,0.51928,0.53846,0.52849,0.22563,0.5653,0.52747,0.51062,0.17965,2.00243,3.92719,1.53185,1.48648,0.0023275,0.0023275,0.0023275
64,4036.14,1.28391,1.95112,0.78405,1.09275,0.71046,0.47253,0.52191,0.21527,0.71046,0.47253,0.4794,0.16809,2.08753,4.27056,1.76943,1.52639,0.00220375,0.00220375,0.00220375
65,4089.82,1.27827,1.90058,0.7819,1.06651,0.68434,0.51648,0.5342,0.23119,0.65796,0.49451,0.48663,0.17026,2.04118,4.20332,1.55902,1.51468,0.00208,0.00208,0.00208
66,4142.91,1.30706,1.91901,0.77451,1.08636,0.65322,0.49451,0.53839,0.2231,0.61258,0.46154,0.46923,0.17485,1.9891,4.28691,1.52732,1.50191,0.00195625,0.00195625,0.00195625
67,4197.81,1.26752,1.93758,0.76102,1.06436,0.74911,0.53846,0.58225,0.25265,0.71827,0.51648,0.5218,0.1853,2.02152,4.2219,1.50976,1.50752,0.0018325,0.0018325,0.0018325
68,4255.66,1.25724,1.93459,0.73397,1.06133,0.60921,0.50549,0.50183,0.24565,0.75647,0.43956,0.49368,0.18651,2.06145,4.28588,1.51804,1.5582,0.00170875,0.00170875,0.00170875
69,4312.2,1.24896,1.90798,0.73658,1.04707,0.66325,0.51949,0.54097,0.22954,0.69559,0.51648,0.50103,0.17383,2.10593,4.44834,1.53301,1.55917,0.001585,0.001585,0.001585
70,4367.7,1.2088,1.86399,0.71426,1.04175,0.77711,0.45979,0.52731,0.21913,0.68145,0.4702,0.4888,0.17972,2.11864,4.28988,1.52196,1.56118,0.00146125,0.00146125,0.00146125
71,4422.7,1.23431,1.83653,0.71273,1.03865,0.69311,0.47253,0.50368,0.21814,0.68898,0.4869,0.48218,0.16701,2.09075,4.25155,1.57223,1.57779,0.0013375,0.0013375,0.0013375
72,4479.87,1.17725,1.81251,0.69771,1.02831,0.60636,0.50549,0.52381,0.21958,0.60636,0.50549,0.47861,0.16864,2.15255,4.39196,1.71397,1.61263,0.00121375,0.00121375,0.00121375
73,4536.13,1.19504,1.79301,0.69665,1.02939,0.74093,0.46154,0.49815,0.21873,0.64425,0.45775,0.4561,0.16247,2.17815,4.38818,1.68849,1.59194,0.00109,0.00109,0.00109
74,4590.87,1.17174,1.80315,0.68616,1.02523,0.61225,0.49451,0.51767,0.22839,0.57065,0.46154,0.45994,0.16975,2.17652,4.28787,1.62663,1.57793,0.00096625,0.00096625,0.00096625
75,4647.65,1.14719,1.74322,0.67446,1.01345,0.70758,0.47867,0.50252,0.22122,0.64484,0.43896,0.45281,0.168,2.14283,4.3294,1.64333,1.5902,0.0008425,0.0008425,0.0008425
76,4704.74,1.15718,1.75774,0.66743,1.01988,0.77959,0.47253,0.52231,0.22877,0.73107,0.41758,0.46056,0.17592,2.16157,4.51045,1.61345,1.56699,0.00071875,0.00071875,0.00071875
77,4764.38,1.1429,1.72903,0.64664,1.00711,0.77333,0.47253,0.54374,0.22602,0.61641,0.49451,0.50096,0.17796,2.20321,4.42319,1.68648,1.60644,0.000595,0.000595,0.000595
78,4817.1,1.14864,1.70895,0.64927,1.00835,0.77269,0.47253,0.54106,0.22275,0.65412,0.48352,0.49763,0.18174,2.16998,4.46564,1.61162,1.59351,0.00047125,0.00047125,0.00047125
79,4870.63,1.13741,1.74998,0.64661,1.00566,0.7794,0.46594,0.52789,0.22439,0.74195,0.44239,0.49756,0.17502,2.15119,4.59668,1.61693,1.5745,0.0003475,0.0003475,0.0003475
80,4926.17,1.13829,1.7114,0.64703,0.99721,0.75602,0.48352,0.52817,0.22892,0.68426,0.46154,0.47114,0.17665,2.13446,4.65076,1.56837,1.57497,0.00022375,0.00022375,0.00022375
